"","index","year","rank_order","countrycode","country_or_area","city_code","urban_agglomeration","note","population_millions","geometry","lon"
"1",1,1950,6,32,"Argentina",20058,"Buenos Aires",1,5.16614,c(-58.400368, -34.605083)
"2",2,1955,5,32,"Argentina",20058,"Buenos Aires",1,5.910271,c(-58.400368, -34.605083)
"3",3,1960,6,32,"Argentina",20058,"Buenos Aires",1,6.761837,c(-58.400368, -34.605083)
"4",4,1965,5,32,"Argentina",20058,"Buenos Aires",1,7.548511,c(-58.400368, -34.605083)
"5",5,1970,5,32,"Argentina",20058,"Buenos Aires",1,8.41617,c(-58.400368, -34.605083)
"6",6,1975,6,32,"Argentina",20058,"Buenos Aires",1,9.143219,c(-58.400368, -34.605083)
"7",7,1980,6,32,"Argentina",20058,"Buenos Aires",1,9.919781,c(-58.400368, -34.605083)
"8",8,1985,7,32,"Argentina",20058,"Buenos Aires",1,10.523442,c(-58.400368, -34.605083)
"9",9,1990,7,32,"Argentina",20058,"Buenos Aires",1,11.147566,c(-58.400368, -34.605083)
"10",10,1995,10,32,"Argentina",20058,"Buenos Aires",1,11.806407,c(-58.400368, -34.605083)
"11",11,2000,11,32,"Argentina",20058,"Buenos Aires",1,12.503871,c(-58.400368, -34.605083)
"12",12,2005,11,32,"Argentina",20058,"Buenos Aires",1,13.32954,c(-58.400368, -34.605083)
"13",13,2010,12,32,"Argentina",20058,"Buenos Aires",1,14.245871,c(-58.400368, -34.605083)
"14",14,2015,12,32,"Argentina",20058,"Buenos Aires",1,14.705533,c(-58.400368, -34.605083)
"15",15,2020,15,32,"Argentina",20058,"Buenos Aires",1,15.153729,c(-58.400368, -34.605083)
"16",16,2025,18,32,"Argentina",20058,"Buenos Aires",1,15.752275,c(-58.400368, -34.605083)
"17",17,2030,20,32,"Argentina",20058,"Buenos Aires",1,16.456115,c(-58.400368, -34.605083)
"18",18,2035,21,32,"Argentina",20058,"Buenos Aires",1,17.127741,c(-58.400368, -34.605083)
"19",19,1950,27,50,"Bangladesh",20119,"Dhaka",2,0.33576,c(90.40744, 23.7104)
"20",20,1955,28,50,"Bangladesh",20119,"Dhaka",2,0.408866,c(90.40744, 23.7104)
"21",21,1960,28,50,"Bangladesh",20119,"Dhaka",2,0.507921,c(90.40744, 23.7104)
"22",22,1965,28,50,"Bangladesh",20119,"Dhaka",2,0.82074,c(90.40744, 23.7104)
"23",23,1970,28,50,"Bangladesh",20119,"Dhaka",2,1.373718,c(90.40744, 23.7104)
"24",24,1975,25,50,"Bangladesh",20119,"Dhaka",2,2.221055,c(90.40744, 23.7104)
"25",25,1980,23,50,"Bangladesh",20119,"Dhaka",2,3.265663,c(90.40744, 23.7104)
"26",26,1985,21,50,"Bangladesh",20119,"Dhaka",2,4.660384,c(90.40744, 23.7104)
"27",27,1990,20,50,"Bangladesh",20119,"Dhaka",2,6.620697,c(90.40744, 23.7104)
"28",28,1995,19,50,"Bangladesh",20119,"Dhaka",2,8.332474,c(90.40744, 23.7104)
"29",29,2000,15,50,"Bangladesh",20119,"Dhaka",2,10.284947,c(90.40744, 23.7104)
"30",30,2005,13,50,"Bangladesh",20119,"Dhaka",2,12.330879,c(90.40744, 23.7104)
"31",31,2010,11,50,"Bangladesh",20119,"Dhaka",2,14.730537,c(90.40744, 23.7104)
"32",32,2015,11,50,"Bangladesh",20119,"Dhaka",2,17.597177,c(90.40744, 23.7104)
"33",33,2020,6,50,"Bangladesh",20119,"Dhaka",2,21.00586,c(90.40744, 23.7104)
"34",34,2025,4,50,"Bangladesh",20119,"Dhaka",2,24.652864,c(90.40744, 23.7104)
"35",35,2030,4,50,"Bangladesh",20119,"Dhaka",2,28.07566,c(90.40744, 23.7104)
